iid	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
331	11	150	54	150	MOD
332	0	150	0	150	NOC
333	0	150	0	150	NOC
334	0	150	0	150	NOC
335	37	150	37	150	NOC
336	0	150	0	150	NOC
337	0	150	0	150	NOC
338	0	150	0	150	NOC
339	0	150	0	150	NOC
340	0	150	0	150	NOC
341	0	150	0	150	NOC
342	0	150	0	150	NOC
343	0	150	0	150	NOC
344	0	150	0	150	NOC
345	0	150	0	150	NOC
346	0	150	0	150	NOC
347	0	150	0	150	NOC
348	0	150	0	150	NOC
349	0	150	0	150	NOC
350	0	150	9	150	MOD
351	0	150	0	150	NOC
352	0	150	0	150	NOC
353	0	150	0	150	NOC
354	0	150	0	150	NOC
355	0	150	0	150	NOC
356	0	150	0	150	NOC
357	0	150	0	150	NOC
358	0	150	32	150	MOD
359	0	150	0	150	NOC
360	0	150	0	150	NOC
361	20	150	54	150	MOD
362	0	150	0	150	NOC
363	0	150	0	150	NOC
364	0	150	0	150	NOC
365	0	150	0	150	NOC
366	0	150	0	150	NOC
367	0	150	0	150	NOC
368	0	150	0	150	NOC
369	0	141	0	138	MOD
370	0	150	0	150	NOC
371	0	150	0	150	NOC
372	0	150	0	150	NOC
373	0	150	0	150	NOC
374	0	150	0	150	NOC
375	0	121	0	116	MOD
376	0	150	0	150	NOC
377	0	136	0	136	NOC
378	0	150	0	150	NOC
379	0	150	0	150	NOC
380	0	150	0	150	NOC
381	8	150	43	150	MOD
382	0	146	0	146	NOC
383	0	150	0	150	NOC
384	0	150	0	150	NOC
385	0	150	0	150	NOC
386	0	150	0	150	NOC
387	0	120	0	120	NOC
388	0	150	0	150	NOC
389	0	150	0	150	NOC
390	0	150	0	150	NOC
391	0	150	33	150	MOD
392	0	150	0	150	NOC
393	0	150	0	150	NOC
394	0	150	0	150	NOC
395	36	150	68	150	MOD
396	0	150	0	150	NOC
397	0	150	0	150	NOC
398	0	150	0	150	NOC
399	0	150	34	150	MOD
400	0	150	0	150	NOC
401	0	150	0	150	NOC
402	0	150	0	150	NOC
403	0	150	0	150	NOC
404	0	150	0	150	NOC
405	0	150	0	150	NOC
406	0	150	0	150	NOC
407	0	150	0	139	MOD
408	0	150	0	150	NOC
409	0	150	0	150	NOC
410	0	82	0	82	NOC
411	0	150	0	150	NOC
412	0	150	22	150	MOD
413	0	150	0	150	NOC
414	0	150	0	150	NOC
415	0	150	0	150	NOC
416	21	150	54	150	MOD
417	0	150	0	150	NOC
418	0	150	0	150	NOC
419	0	150	0	150	NOC
420	0	150	0	150	NOC
421	0	150	0	145	MOD
422	0	150	0	150	NOC
423	0	150	0	150	NOC
424	0	150	0	150	NOC
425	0	150	0	150	NOC
426	0	150	36	150	MOD
427	0	150	0	150	NOC
428	0	150	0	150	NOC
429	0	150	0	150	NOC
430	0	150	0	150	NOC
431	0	150	0	150	NOC
432	0	150	30	150	MOD
433	0	150	0	150	NOC
434	0	150	0	150	NOC
435	0	150	0	150	NOC
436	0	150	0	150	NOC
437	0	150	0	150	NOC
438	0	150	0	150	NOC
439	0	150	0	150	NOC
440	0	150	0	150	NOC
441	0	150	0	150	NOC
442	0	150	0	150	NOC
443	0	150	0	150	NOC
444	0	150	33	150	MOD
445	0	150	30	150	MOD
446	0	150	0	150	NOC
447	0	150	0	150	NOC
448	0	150	32	150	MOD
449	0	150	0	150	NOC
450	0	150	0	150	NOC
451	0	150	0	150	NOC
452	0	150	0	150	NOC
453	0	149	0	149	NOC
454	0	150	0	150	NOC
455	0	150	0	150	NOC
456	0	150	0	150	NOC
457	0	150	0	150	NOC
458	0	150	0	150	NOC
459	0	150	0	150	NOC
460	0	150	0	150	NOC
461	0	150	0	140	MOD
462	0	150	5	150	MOD
463	0	84	0	84	NOC
464	0	150	0	150	NOC
465	0	150	0	150	NOC
466	0	150	0	150	NOC
467	0	150	0	150	NOC
468	0	150	0	150	NOC
469	0	150	0	150	NOC
470	0	150	0	150	NOC
471	0	150	0	150	NOC
472	0	150	0	150	NOC
473	51	150	84	150	MOD
474	0	150	0	150	NOC
475	0	150	0	150	NOC
476	0	150	0	150	NOC
477	0	113	0	94	MOD
478	0	150	0	150	NOC
479	0	150	0	150	NOC
480	0	150	0	150	NOC
481	0	150	0	150	NOC
482	0	150	0	150	NOC
483	0	150	31	150	MOD
484	0	150	0	150	NOC
485	0	150	35	150	MOD
486	0	150	0	150	NOC
487	0	150	0	150	NOC
488	0	150	0	150	NOC
489	0	150	0	150	NOC
490	0	150	0	150	NOC
491	0	150	0	150	NOC
492	0	150	0	150	NOC
493	0	150	0	150	NOC
494	0	150	10	150	MOD
495	0	150	0	150	NOC
496	0	150	0	150	NOC
497	0	150	0	150	NOC
498	0	150	0	150	NOC
499	0	150	0	150	NOC
500	0	150	0	150	NOC
501	0	150	11	150	MOD
502	0	150	54	134	MOD
503	0	147	0	147	NOC
504	0	150	37	150	MOD
505	0	150	0	150	NOC
506	0	150	0	150	NOC
507	0	150	0	150	NOC
508	0	150	0	150	NOC
509	0	150	0	150	NOC
510	0	150	0	150	NOC
